Subgroup,Kernel,Subgroup Complexity,TE norm of kernel,TE norm of Λ(Λ(U))
2.3.5,81/80,3.6802,7.8476,28.8805
2.3.5,2048/2025,3.6802,13.5188,49.7516
2.3.5,128/125,3.6802,9.8753,36.3429
2.3.5,250/243,3.6802,10.5983,39.0037
2.3.5,15625/15552,3.6802,17.1141,62.9827
2.3.7,64/63,4.4496,7.3437,32.6761
2.3.7,1029/1024,4.4496,13.1698,58.5997
2.3.7,49/48,4.4496,7.0737,31.4747
2.3.7,65536/64827,4.4496,20.1174,89.5133
2.3.7,28/27,4.4496,5.8728,26.1315
2.3.11,243/242,5.4831,10.5676,57.9427
2.3.11,8192/8019,5.4831,16.4743,90.3299
2.3.11,33/32,5.4831,6.2833,34.4517
2.3.11,1331/1296,5.4831,12.8024,70.1967
2.3.11,131769/131072,5.4831,22.1479,121.4387
2.5.7,50/49,6.5185,7.3546,47.9409
2.5.7,3136/3125,6.5185,14.2235,92.7157
2.5.7,128/125,6.5185,9.8753,64.3721
2.5.7,78125/76832,6.5185,20.3783,132.8356
2.5.7,16807/16384,6.5185,19.825,129.2289
2.5.11,15625/15488,8.0326,17.0575,137.0155
2.5.11,128/125,8.0326,9.8753,79.3241
2.5.11,33275/32768,8.0326,18.8222,151.1901
2.5.11,161051/160000,8.0326,21.2003,170.2926
2.5.11,125/121,8.0326,9.818,78.8635
2.7.11,65536/65219,9.7119,19.8805,193.0764
2.7.11,352/343,9.7119,10.3874,100.8813
2.7.11,117649/117128,9.7119,22.0047,213.7065
2.7.11,14641/14336,9.7119,17.8987,173.8297
2.7.11,1372/1331,9.7119,13.5144,131.2503
